date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,exit_reason
2024-06-26,long,2024-06-26 10:20:00+05:30,23749.5,2024-06-26 15:25:00+05:30,23840.25,23670.45,,90.75,62,EOD
2024-07-05,long,2024-07-05 10:45:00+05:30,24260.95,2024-07-05 15:25:00+05:30,24316.75,24170.35,,55.8,57,EOD
2024-07-09,long,2024-07-09 10:00:00+05:30,24384.0,2024-07-09 15:25:00+05:30,24417.25,24331.9,,33.25,66,EOD
2024-07-12,long,2024-07-12 10:50:00+05:30,24440.75,2024-07-12 15:25:00+05:30,24512.4,24342.45,,71.65,56,EOD
2024-07-15,long,2024-07-15 10:40:00+05:30,24598.0,2024-07-15 15:25:00+05:30,24588.35,24522.75,,-9.65,58,EOD
2024-08-16,long,2024-08-16 12:00:00+05:30,24403.55,2024-08-16 15:25:00+05:30,24539.2,24302.8,,135.65,42,EOD
2024-08-26,long,2024-08-26 09:45:00+05:30,24983.65,2024-08-26 15:25:00+05:30,25011.45,24874.7,,27.8,69,EOD
2024-08-28,long,2024-08-28 11:15:00+05:30,25048.15,2024-08-28 15:25:00+05:30,25044.85,24964.65,,-3.3,51,EOD
2024-08-29,long,2024-08-29 09:45:00+05:30,25074.1,2024-08-29 14:00:00+05:30,25017.5,25017.5,,-56.6,52,SL
2024-09-04,long,2024-09-04 09:55:00+05:30,25133.1,2024-09-04 15:25:00+05:30,25206.35,25083.8,,73.25,67,EOD
2024-09-20,long,2024-09-20 09:50:00+05:30,25547.85,2024-09-20 15:25:00+05:30,25820.35,25426.6,,272.5,68,EOD
2024-10-16,long,2024-10-16 09:55:00+05:30,25084.05,2024-10-16 11:15:00+05:30,24994.65,24994.65,,-89.4,17,SL
2024-12-02,long,2024-12-02 10:15:00+05:30,24154.65,2024-12-02 15:25:00+05:30,24275.25,24008.65,,120.6,63,EOD
2024-12-03,long,2024-12-03 10:20:00+05:30,24377.9,2024-12-03 15:25:00+05:30,24445.85,24280.0,,67.95,62,EOD
2024-12-13,long,2024-12-13 11:55:00+05:30,24520.8,2024-12-13 15:25:00+05:30,24781.3,24380.0,,260.5,43,EOD
2024-12-27,long,2024-12-27 09:45:00+05:30,23863.85,2024-12-27 15:25:00+05:30,23832.45,23800.6,,-31.4,69,EOD
2024-12-30,long,2024-12-30 10:45:00+05:30,23818.8,2024-12-30 13:30:00+05:30,23709.1,23709.1,,-109.7,34,SL
2024-12-31,long,2024-12-31 10:50:00+05:30,23584.5,2024-12-31 15:25:00+05:30,23668.8,23509.7,,84.3,56,EOD
2025-01-01,long,2025-01-01 10:45:00+05:30,23683.6,2025-01-01 15:25:00+05:30,23758.7,23598.4,,75.1,57,EOD
2025-01-02,long,2025-01-02 09:55:00+05:30,23842.05,2025-01-02 15:25:00+05:30,24167.95,23751.55,,325.9,67,EOD
2025-01-20,long,2025-01-20 11:15:00+05:30,23308.35,2025-01-20 15:25:00+05:30,23337.05,23170.65,,28.7,51,EOD
2025-01-22,long,2025-01-22 10:45:00+05:30,23127.7,2025-01-22 11:10:00+05:30,23067.75,23067.75,,-59.95,6,SL
2025-01-23,long,2025-01-23 09:45:00+05:30,23202.85,2025-01-23 15:25:00+05:30,23216.3,23090.65,,13.45,69,EOD
2025-01-24,long,2025-01-24 11:40:00+05:30,23292.05,2025-01-24 13:05:00+05:30,23177.8,23177.8,,-114.25,18,SL
2025-03-13,long,2025-03-13 10:20:00+05:30,22556.0,2025-03-13 11:30:00+05:30,22460.4,22460.4,,-95.6,15,SL
2025-03-18,long,2025-03-18 10:00:00+05:30,22703.4,2025-03-18 15:25:00+05:30,22848.75,22599.2,,145.35,66,EOD
2025-04-28,long,2025-04-28 09:55:00+05:30,24227.8,2025-04-28 15:25:00+05:30,24312.9,24054.05,,85.1,67,EOD
2025-06-02,long,2025-06-02 12:30:00+05:30,24717.55,2025-06-02 15:25:00+05:30,24690.35,24526.15,,-27.2,36,EOD
2025-06-04,long,2025-06-04 13:00:00+05:30,24612.75,2025-06-04 15:25:00+05:30,24612.0,24536.5,,-0.75,30,EOD
2025-06-05,long,2025-06-05 09:45:00+05:30,24753.1,2025-06-05 15:25:00+05:30,24761.1,24613.1,,8.0,69,EOD
2025-06-06,long,2025-06-06 10:05:00+05:30,24763.35,2025-06-06 10:05:00+05:30,24685.4,24685.4,,-77.95,1,SL
2025-06-20,long,2025-06-20 09:45:00+05:30,24881.5,2025-06-20 15:25:00+05:30,25079.75,24783.65,,198.25,69,EOD
2025-06-23,long,2025-06-23 13:20:00+05:30,24988.1,2025-06-23 15:25:00+05:30,24958.9,24858.75,,-29.2,26,EOD
2025-06-24,long,2025-06-24 10:15:00+05:30,25250.85,2025-06-24 13:20:00+05:30,25140.25,25140.25,,-110.6,38,SL
2025-07-03,long,2025-07-03 09:50:00+05:30,25537.05,2025-07-03 14:30:00+05:30,25429.75,25429.75,,-107.3,57,SL
2025-07-04,long,2025-07-04 14:45:00+05:30,25458.65,2025-07-04 15:25:00+05:30,25467.8,25370.55,,9.15,9,EOD
