date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2023-09-11,short,2023-09-11 09:15:00+05:30,2023-09-11 10:40:00+05:30,19890.0,19940.0,19940.0,19855.25,-60.0,sl,0.35
2023-09-12,short,2023-09-12 09:15:00+05:30,2023-09-12 09:25:00+05:30,20110.15,20055.08,20160.15,20055.08,45.08,tgt,0.55
2023-10-05,short,2023-10-05 09:15:00+05:30,2023-10-05 11:10:00+05:30,19521.85,19571.85,19571.85,19484.0,-60.0,sl,0.39
2023-10-06,short,2023-10-06 09:15:00+05:30,2023-10-06 14:55:00+05:30,19621.2,19671.2,19671.2,19583.9,-60.0,sl,0.38
2023-10-11,short,2023-10-11 09:15:00+05:30,2023-10-11 09:30:00+05:30,19767.0,19817.0,19817.0,19729.25,-60.0,sl,0.38
2023-10-17,short,2023-10-17 09:15:00+05:30,2023-10-17 14:10:00+05:30,19843.2,19787.08,19893.2,19787.08,46.12,tgt,0.57
2023-10-27,short,2023-10-27 09:15:00+05:30,2023-10-27 09:20:00+05:30,18928.75,18978.75,18978.75,18888.62,-60.0,sl,0.43
2023-10-31,short,2023-10-31 09:15:00+05:30,2023-10-31 09:20:00+05:30,19232.95,19173.95,19282.95,19190.9,49.0,tgt,0.44
2023-11-02,short,2023-11-02 09:15:00+05:30,2023-11-02 09:35:00+05:30,19120.0,19170.0,19170.0,19055.2,-60.0,sl,0.68
2023-11-03,short,2023-11-03 09:15:00+05:30,2023-11-03 15:20:00+05:30,19241.0,19228.25,19291.0,19192.92,2.75,eod,0.5
2023-11-06,short,2023-11-06 09:15:00+05:30,2023-11-06 15:00:00+05:30,19345.85,19395.85,19395.85,19285.95,-60.0,sl,0.62
2023-11-12,short,2023-11-12 18:15:00+05:30,2023-11-12 18:20:00+05:30,19547.25,19534.6,19597.25,19495.35,2.65,eod,0.53
2023-11-15,short,2023-11-15 09:15:00+05:30,2023-11-15 15:20:00+05:30,19651.4,19690.95,19701.4,19545.78,-49.55,eod,1.09
2023-11-21,short,2023-11-21 09:15:00+05:30,2023-11-21 12:20:00+05:30,19770.9,19820.9,19820.9,19732.28,-60.0,sl,0.39
2023-12-04,short,2023-12-04 09:15:00+05:30,2023-12-04 14:30:00+05:30,20601.95,20651.95,20651.95,20428.85,-60.0,sl,1.71
2023-12-05,short,2023-12-05 09:15:00+05:30,2023-12-05 09:20:00+05:30,20808.9,20724.4,20858.9,20747.85,74.5,tgt,0.59
2023-12-06,short,2023-12-06 09:15:00+05:30,2023-12-06 09:30:00+05:30,20950.75,20903.72,21000.75,20903.72,37.03,tgt,0.45
2023-12-14,short,2023-12-14 09:15:00+05:30,2023-12-14 09:50:00+05:30,21110.4,21160.4,21160.4,21023.93,-60.0,sl,0.83
2023-12-15,short,2023-12-15 09:15:00+05:30,2023-12-15 09:35:00+05:30,21287.45,21241.35,21337.45,21241.35,36.1,tgt,0.44
2023-12-20,short,2023-12-20 09:15:00+05:30,2023-12-20 11:50:00+05:30,21543.5,21494.75,21593.5,21494.75,38.75,tgt,0.45
2024-01-04,short,2024-01-04 09:15:00+05:30,2024-01-04 11:15:00+05:30,21605.8,21655.8,21655.8,21564.75,-60.0,sl,0.38
2024-01-09,short,2024-01-09 09:15:00+05:30,2024-01-09 10:40:00+05:30,21653.6,21703.6,21703.6,21582.47,-60.0,sl,0.66
2024-01-12,short,2024-01-12 09:15:00+05:30,2024-01-12 09:30:00+05:30,21773.55,21721.47,21823.55,21721.47,42.08,tgt,0.48
2024-01-15,short,2024-01-15 09:15:00+05:30,2024-01-15 09:55:00+05:30,22053.15,21980.7,22103.15,21980.7,62.45,tgt,0.66
2024-01-19,short,2024-01-19 09:15:00+05:30,2024-01-19 09:40:00+05:30,21615.2,21665.2,21665.2,21546.22,-60.0,sl,0.64
2024-01-23,short,2024-01-23 09:15:00+05:30,2024-01-23 10:00:00+05:30,21716.7,21651.83,21766.7,21651.83,54.88,tgt,0.6
2024-02-02,short,2024-02-02 09:15:00+05:30,2024-02-02 09:20:00+05:30,21812.75,21919.25,21862.75,21751.53,-116.5,sl,0.56
2024-02-07,short,2024-02-07 09:15:00+05:30,2024-02-07 09:25:00+05:30,22045.05,21991.92,22095.05,21991.92,43.12,tgt,0.48
2024-02-16,short,2024-02-16 09:15:00+05:30,2024-02-16 09:45:00+05:30,22020.3,21973.67,22070.3,21973.67,36.62,tgt,0.43
2024-03-02,short,2024-03-02 09:15:00+05:30,2024-03-02 12:25:00+05:30,22406.95,22373.4,22456.95,22366.5,23.55,eod,0.36
2024-03-13,short,2024-03-13 09:15:00+05:30,2024-03-13 09:20:00+05:30,22432.2,22382.95,22482.2,22382.95,39.25,tgt,0.44
2024-03-21,short,2024-03-21 09:15:00+05:30,2024-03-21 10:05:00+05:30,21989.9,22039.9,22039.9,21922.5,-60.0,sl,0.62
2024-04-01,short,2024-04-01 09:15:00+05:30,2024-04-01 09:20:00+05:30,22455.0,22512.55,22505.0,22399.05,-67.55,sl,0.5
2024-04-04,short,2024-04-04 09:15:00+05:30,2024-04-04 09:30:00+05:30,22592.1,22518.82,22642.1,22518.82,63.28,tgt,0.65
2024-04-09,short,2024-04-09 09:15:00+05:30,2024-04-09 09:20:00+05:30,22765.1,22707.3,22815.1,22713.05,47.8,tgt,0.46
2024-04-22,short,2024-04-22 09:15:00+05:30,2024-04-22 09:25:00+05:30,22336.9,22243.3,22386.9,22243.3,83.6,tgt,0.85
2024-05-03,short,2024-05-03 09:15:00+05:30,2024-05-03 10:05:00+05:30,22766.35,22711.55,22816.35,22711.55,44.8,tgt,0.48
2024-05-06,short,2024-05-06 09:15:00+05:30,2024-05-06 09:20:00+05:30,22561.6,22509.15,22611.6,22509.15,42.45,tgt,0.47
2024-05-16,short,2024-05-16 09:15:00+05:30,2024-05-16 09:30:00+05:30,22319.2,22264.8,22369.2,22264.8,44.4,tgt,0.49
2024-05-27,short,2024-05-27 09:15:00+05:30,2024-05-27 09:20:00+05:30,23038.95,22995.47,23088.95,22995.47,33.48,tgt,0.38
2024-06-03,short,2024-06-03 09:15:00+05:30,2024-06-03 15:20:00+05:30,23337.9,23283.55,23387.9,22944.18,44.35,eod,3.49
2024-06-05,short,2024-06-05 09:15:00+05:30,2024-06-05 09:20:00+05:30,22128.35,21969.4,22178.35,22062.4,148.95,tgt,0.6
2024-06-06,short,2024-06-06 09:15:00+05:30,2024-06-06 09:20:00+05:30,22798.6,22685.8,22848.6,22685.8,102.8,tgt,1.0
2024-06-12,short,2024-06-12 09:15:00+05:30,2024-06-12 09:55:00+05:30,23344.45,23394.45,23394.45,23303.12,-60.0,sl,0.36
2024-06-13,short,2024-06-13 09:15:00+05:30,2024-06-13 09:35:00+05:30,23480.95,23394.68,23530.95,23394.68,76.27,tgt,0.74
2024-06-18,short,2024-06-18 09:15:00+05:30,2024-06-18 09:20:00+05:30,23570.8,23512.47,23620.8,23512.47,48.33,tgt,0.5
2024-07-02,short,2024-07-02 09:15:00+05:30,2024-07-02 09:20:00+05:30,24228.75,24175.95,24278.75,24175.95,42.8,tgt,0.44
2024-07-03,short,2024-07-03 09:15:00+05:30,2024-07-03 15:20:00+05:30,24291.75,24295.6,24341.75,24204.78,-13.85,eod,0.72
2024-07-29,short,2024-07-29 09:15:00+05:30,2024-07-29 09:40:00+05:30,24943.3,24897.53,24993.3,24897.53,35.77,tgt,0.37
2024-08-06,short,2024-08-06 09:15:00+05:30,2024-08-06 09:20:00+05:30,24189.85,24337.5,24239.85,24120.82,-157.65,sl,0.57
2024-08-07,short,2024-08-07 09:15:00+05:30,2024-08-07 15:20:00+05:30,24289.4,24305.7,24339.4,24161.22,-26.3,eod,1.07
2024-08-09,short,2024-08-09 09:15:00+05:30,2024-08-09 15:20:00+05:30,24386.85,24373.65,24436.85,24242.78,3.2,eod,1.2
2024-08-16,short,2024-08-16 09:15:00+05:30,2024-08-16 09:20:00+05:30,24334.85,24384.85,24384.85,24239.67,-60.0,sl,0.79
2024-08-19,short,2024-08-19 09:15:00+05:30,2024-08-19 09:25:00+05:30,24636.35,24587.78,24686.35,24587.78,38.57,tgt,0.4
2024-08-30,short,2024-08-30 09:15:00+05:30,2024-08-30 10:00:00+05:30,25249.7,25203.22,25299.7,25203.22,36.48,tgt,0.37
2024-09-12,short,2024-09-12 09:15:00+05:30,2024-09-12 09:50:00+05:30,25059.65,25005.72,25109.65,25005.72,43.93,tgt,0.43
