date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2023-08-30,long,2023-08-30 03:45:00,19433.45,2023-08-31 04:45:00,19309.95,,,-123.5,9,0,480,-128.05,19.35,Target
2023-08-31,short,2023-08-31 06:45:00,19291.5,2023-09-01 06:45:00,19388.2,,,-96.7,8,0,420,-109.45,66.9,Target
2023-09-01,long,2023-09-01 08:45:00,19452.8,2023-09-06 06:45:00,19525.75,,,72.95,20,0,1140,-30.9,152.05,Target
2023-09-06,long,2023-09-06 08:45:00,19604.85,2023-09-18 09:45:00,20123.35,,,518.5,58,0,3420,-54.8,617.6,Target
2023-09-20,short,2023-09-20 03:45:00,19980.75,2023-09-27 07:45:00,19696.4,,,284.35,40,0,2340,0.0,426.75,Target
2023-09-28,long,2023-09-28 03:45:00,19761.8,2023-09-28 07:45:00,19554.0,,,-207.8,5,0,240,-221.8,0.0,Target
2023-09-28,short,2023-09-28 08:45:00,19540.0,2023-09-29 08:45:00,19718.8,,,-178.8,8,0,420,-186.25,40.2,Target
2023-10-03,short,2023-10-03 03:45:00,19492.1,2023-10-05 04:45:00,19547.65,,,-55.55,16,0,900,-81.5,158.5,Target
2023-10-06,long,2023-10-06 03:45:00,19621.2,2023-10-09 03:45:00,19523.0,,,-98.2,8,0,420,-140.7,54.55,Target
2023-10-10,long,2023-10-10 06:45:00,19675.75,2023-10-13 03:45:00,19654.55,,,-21.2,19,0,1080,-40.45,167.55,Target
2023-10-17,long,2023-10-17 03:45:00,19843.2,2023-10-18 04:45:00,19718.8,,,-124.4,9,0,480,-126.0,4.85,Target
2023-10-18,short,2023-10-18 06:45:00,19689.9,2023-10-27 07:45:00,19057.9,,,632.0,44,0,2580,-35.5,852.05,Target
2023-10-30,long,2023-10-30 08:45:00,19141.75,2023-10-31 08:45:00,19064.7,,,-77.05,8,0,420,-85.3,91.95,Target
2023-11-03,long,2023-11-03 03:45:00,19241.0,2023-11-09 08:45:00,19402.7,,,161.7,34,0,1980,-30.1,223.4,Target
